title,genre,director,rating
Lashtam Pashtam,Lashtam Pashtam is a drama based in Dubai and explores the bond of friendship between two boys - an Indian and a Pakistani - who are doubles partners in Tennis.,Manav Bhalla,6.3
Bhabhipedia,"Manish Rajput has a fetish for elderly women. He is guided by Guru Levy to pick on bhabhis. In his journey of exploring bhabhis he is caught in a trap of crime, blackmailing and deceit.",Saumyy Shivhare,8.5
Subah Subah,Add a Plot,Indrajeet Singh Bansal,7.8
Flat 211,An incident occurs at Flat 211 and the characters connected to this flat get involved in the incident leading to a mess. The mysterious identity of the person responsible for the incident grows leading to a dramatic turn of events.,Sunil Sanjan,5.1
Yeh Jo Mohabbat Hai,Will an old enmity between their respective Rajput families stop two lovers Karishma and Karan from eloping.,Shree Narayan Singh,5.4
Detective Naani,An elderly grandmother and others spy on a neighbor.,Romilla Mukherjee,6.4
Phir Subha Hogi,An adaption of Fyodor Dostoevsky's Crime and Punishment; Ram is a destitute but bright law student who decides to rob the safe of the moneylender.,Ramesh Saigal,7.5
Apnapan,"Delhi based Anil Mehra decides to relocate to Bombay. He is unsure of the location of his workplace, and takes the assistance of Radhika Sharma. She does assist him to find the location. ...                See full summary »",J. Om Prakash,6.6
Naukri,Ranjit was a badminton player and his family once lived a good life.Ranjit now cant feed his family as he has turned handicapped and feels of attempting suicide. One morning Ranjit tires to...                See full summary »,Hrishikesh Mukherjee,7.0
Adutha Varisu,"Kannan, a small-time bounty hunter, is enlisted by the crooked members of a royal zameen to find a girl to impersonate the lost heiress to the throne, so that they can usurp the zameen's wealth.",S.P. Muthuraman,5.5
Sazaye Maut,"Malika Modi lives a very wealthy lifestyle with her widowed dad in India where they own vast acres of land and businesses. When Mr. Modi suddenly passes away, he leaves all the business's ...                See full summary »",Vidhu Vinod Chopra,7.1
Saathi,"A doctor doing research on cancer treatment faces challenges when he first loses his wife, and then his vision.",C.V. Sridhar,7.2
Krish Trish and Baltiboy: Face Your Fears,"In three tales about fear, a baby elephant gets captured by a circus, two boys enter a haunted house and a parrot faces his fear of flying.",Tilak Shetty,9.1
Babloo Happy Hai,"Jatin, Harry and Rohan head to Manali for one last trip before Jatin gets married. In Manali, the group of friends meet Natasha and are set forward on a journey of rediscovery.",Nila Madhab Panda,6.8
Marne Bhi Do Yaaron,A young man makes failed suicide attempts until he meets a bystander who insists on helping him in return for money.,Kashmira Shah,5.2
Anjaane: The Unknown,"The chief protagonists are Shivani and Aditya, a married couple with 2 children, Tanwi Gouri Mehta and Anand Mehta. They are wealthy and live in a mansion. Their idyllic life is shattered ...                See full summary »",Harryy W. Fernaandes,3.9
Raakh: A Poem Masked in Blood,"After losing his love to the son of a gangster, a loyal gang-member must try and protect his family.",Hansal Mehta,3.6
Guru,"A working-class man of good character struggles to help his siblings move up in the world, and to protect them from the evil intentions of his gangster enemies.",Swapan Saha,5.4
Bewafa,"Roopa lives in a chawl in a slum with her alcoholic paternal uncle, who sits at home and forces her to go out to work, earn and buy alcohol for him. Her outlook on life is close to despair,...                See full summary »",M.L. Anand,7.6
Babu,"Babu is a naive young man who likes to go out of his way to help people. He has fallen in love with Kammo, but in the process of helping another, he lands himself in jail for two years. ...                See full summary »",A.C. Trilogchander,7.0
Judaai,"To fulfil his father's dying wish, Dr. Shashikant gets married to Gauri. But misunderstandings and subsequent fights put them asunder. The story follows the separate individual lives of Shashikant and Gauri and their two children.",Rama Rao Tatineni,5.8
Teesri Aankh,"Childless Malti is married to a honest man, Kailash Nath, who one day brings home a newborn baby boy and asks her to take care of him. Malti names the boy Ashok, and brings him up as her ...                See full summary »",Subodh Mukherji,6.6
Jung Baaz,Two men Arjun Srivastav and a guilt ridden advocate Krishna Prasad Saxena who prosecuted Arjun for a crime he did not commit clear up their misunderstandings and team up to take revenge on ...                See full summary »,Mehul Kumar,5.5
Budtameez,"Shanta (Sadhana) is wealthy Rajbahadur Murthy Sagar's vivacious and uppity, orphan granddaughter. Her character is developed as pretty, haughty, aware of herself and contemptuous of ...                See full summary »",Manmohan Desai,7.4
Pataal Bhairavi,"Ujjain's Raja Vijay Singh presides over his region and rules it with his Maharani Swarnapati, and daughter Rajkumari Indumati. During the annual arena games a challenger by the name of ...                See full summary »",K. Bapaiah,5.7
Hum Naujawan,"A Proffessor searching for his missing daughter later he comes to know that she is not alive and he knows whp is responsible for that but doesnot have the evidence, later the culprit is caught red handed.",Dev Anand,5.2
Hanste Zakhm,"Somesh lives a very wealthy lifestyle with businessman dad, Banwari, and housewife mom. His dad runs a bank, Canara Bank, and wants Somesh to take an active interest in helping him, Somesh ...                See full summary »",Chetan Anand,7.2
Be-Imaan,"Mohan has abandoned his love, on the eve of his engagement. On the run, he turns into a safe-breaker and thief. Beimaan means untrustworthy. Mohan lives up to the moniker through his ...                See full summary »",Sohanlal Kanwar,7.0
Ab Dilli Dur Nahin,"The year is 1951, India is a free country, and Hariram lives a poor lifestyle along with his wife, Bela, and a young son, Rattan. He is in debt, but continues to borrow money so that he ...                See full summary »",Amar Kumar,7.8
12 O'Clock,"Bani Chowdhury and solicitor Ajoy Kumar are deeply in love with each other. But their world comes crashing down when Bani's cousin, Maya is found dead in the first class compartment at a ...                See full summary »",Pramod Chakravorty,7.3
Daal Mein Kuch Kaala Hai,Daal Mein Kuch Kaala Hai is a tale of a budding actress (Veena Malik) who is over motivated to become a successful in Bollywood. The story starts with Mr. Dabu who is a middle aged man in ...                See full summary »,Anand Balraj,3.9
Chhupam Chhaai,"In a small town in the heart of India, six teenage friends who secretly run ""Friends Private Detective Agency,"" encounter their most challenging case; a murder mystery.",Pratik Mittal,8.4
50 Lakh,Four youths abduct a dreaded gangster/hijacker in order to claim a reward for his capture.,Chandra Sekhar Yeleti,6.6
Sharafat,A man takes in his daughter's fiance only to learn that he has been frequenting a prostitute under the auspices of teaching her to read and write.,Asit Sen,7.2
Vishwasghaat,"Rammohan lives a poor lifestyle in India along with his grandson, Avinash, the only child of his late son, Indermohan. Rammohan is disappointed with Avinash as he always seems to be getting...                See full summary »",Himanshu Brahmbhatt,5.5
Jeena Marna Tere Sang,"Amar is the son of a millionaire. He decides to avenge on Asha for slapping him in public, but later falls for her. He also discovers the truth about his father.",Vijay Reddy,4.9
Heeralal Pannalal,"Two boys grow up together in an orphanage and become best friends, swearing their undying brotherly devotion to each other. Unknown to them, a dark secret related to their past may hamper this bond.",Ashok Roy,6.7
Arpan,"The Verma family consists of Mrs. Verma, the mother; Anil, the son; and a daughter named Vinnie. Anil loves Shobha, and hopes to marry her someday. While Vinnie loves Rakesh and also hopes ...                See full summary »",J. Om Prakash,6.1
Sapnon Ka Saudagar,Add a Plot,Mahesh Kaul,7.2
Ek Ghar,"Rajanna and Geeta arrive in the city with the hope of building a cozy little home. When they find their dream house, their happiness knows no bounds. Things are fine till, one day, a loud workshop opens up next door.",Girish Kasaravalli,7.4
Mere Hamdam Mere Dost,"Sunil lives with his mom and sister in a middle-class dwelling in Delhi, India. He works for Chopra & Co., Chartered Accountants. He comes across a beautiful woman posing for a painting, ...                See full summary »",Amar Kumar,7.0
Ghar Ek Mandir,"A joint family consisting of three brothers Prem (Shashi Kapoor), Vijay (Raj Kiran) and Ravi (Mithun Chakraborty) are leading a happy and prosperous life. They consider their house temple ...                See full summary »",K. Bapaiah,5.5
Saajan Ki Baahon Mein,"Sagar is a popular singer, and since he is a bachelor, he is always mobbed by young women wherever he stages his shows. On one such show in Srinagar, he meets with beautiful Sapna Narang, ...                See full summary »",Jayprakkash Shaw,4.4
Garam Masala,"Lusty womanizer, army Captain Kishore, wants a gypsy dancer for himself, and is ready to kill anyone who tries to get in the way. But his plans are foiled when the woman kills herself, ...                See full summary »",Aspi Irani,5.7
Parvarish,"After an hospital accident, a wealthy male is compelled to adopt a prostitute's son.",S. Bannerjee,6.8
Funtoosh,"Ram goes crazy after death of his mother and sister, once released from mental hospital comes across Mr Kirorimal who insures him and wants him dead for the money. However Ram ends up marrying his daughter.",Chetan Anand,7.4
Anarkali,Misunderstandings arises between Akbar and his son Salim when he disapproves his son's love.,Nandlal Jaswantlal,7.2
Chaahat Ek Nasha...,"Rashmi lives a wealthy lifestyle in India along with her widower dad, Dr. Sanjeev Jaitly. She aspires to be a singer and dancer, and is encouraged by her friends and dad to take this up as ...                See full summary »",Surya Prakash,3.9
Sawan Ko Aane Do,"When Birju, a poor villager wants to marry the headman's daughter, her father gets furious and sends her to the city. Years later, Birju becomes a successful singer and returns to seek his approval.",Kanak Mishra,7.7
Jhoota Kahin Ka,"The Rai family consists of four: father, mother, Shanti, and two sons, Ajay and Vijay. While traveling on a ship, they run into a severe storm, which leads to the ship capsizing, and the ...                See full summary »",Ravi Tandon,6.8
Madam X,"Sonu lives a poor lifestyle in India, along with her sister, Nirmala, brother, Raju, a widowed aunt, and makes a living sharpening knives. She is approached by Police Inspector Vijay, who ...                See full summary »",Deepak S. Shivdasani,3.9
Vijeta,"Advocate Durga Prasad was to have received a file from Chote Thakur with regard to a case pending in a Court in Bangalore, India. However, Chote gets killed, he does not receive the file ...                See full summary »",K. Muralimohana Rao,4.1
Lakhon Me Ek,An abused homeless male and a mentally-challenged woman become friends.,S.S. Balan,7.0
Singapore,"When his employee disappears in Singapore, Shyam travels from India to investigate the absence and becomes entangled in a deadly plot.",Shakti Samanta,6.4
Baghavat,"The region under Maharaj Singh's control is under-going drought and famine-like conditions, and the Maharaj orders that the treasury be made open so that his public does not suffer. His ...                See full summary »",Ramanand Sagar,6.4
Jeevan Dhaara,"An overwhelmed Mr. Shrivastav is unable to shoulder the responsibility of raising and looking her his wife, two daughters, and one son, he leaves home, and decides to be a celibate hermit. ...                See full summary »",Rama Rao Tatineni,6.6
Jaani Dost,Two childhood friends face obstacles and challenges after they confront gangsters and each other.,K. Raghavendra Rao,5.8
Izzat Ki Roti,Laxmi lives happily with her two sons Krishna and Jeet. Jealous Veerendra Pratap wants to take away her business and creates a rift between the two brothers.,K. Pappu,5.1
Hariyali Aur Rasta,"Shanker and Rita's marriage is finalized by their elders in their childhoods, however, after growing up, Shanker loves Shobna. Shanker is told to marry Rita instead, and he does so. The ...                See full summary »",Vijay Bhatt,7.1
Khilaaf,"A poor college student, Vikram Veerpratap Singh, living with his widowed grandmother, becomes infatuated with a wealthy beauty, Shweta Sangwan, initially woos her unsuccessfully, but is ...                See full summary »",Rajeev Nagpal,5.4
Main Tera Dushman,"Honest and diligent Forest Officer Kishan Srivastav (Jackie Shroff) and his wife Jaya (Jaya Pradha) come to the rural area of Ramgarh, and upset the criminal activities of Thakur Dayalu (...                See full summary »",Vijay Reddy,5.4
Apradhi Kaun?,"A wealthy man, suspected of murder, is killed before he can be arrested. Everyone in his household is under suspicion. A private investigator looks into the case and finds himself falling in love with one of the suspects.",Asit Kumar Sen,7.6
Military Officer,Add a Plot,Asit Kumar Sen,7.4
Jugaad,A man faces financial losses after authorities decide to demolish his business.,Kumar Anand,5.4
Fruit & Nut,"A madcap comedy film that revolves around Jolly Maker (Cyrus Broacha), a simple, hard-working bachelor in search of love, money, friends and success.",Kunal Vijaykar,2.9
5 Ghantey Mien 5 Crore,The film tells the story of chartered accountant Vikram and his keep Soniya who are waiting for another Accountant Muqaadam to deliver 5 Crores Hard Cash at their Farm House. Vikram works ...                See full summary »,Faisal Saif,5.8
Kabaad- The Coin,"The story of Kabaad the Coin begins with a boy named Bandhan living in a slum area of Mumbai. One day, working at the junk Bandhan gets five hundred years old Ram Siya precious gold coins ...                See full summary »",Varadraj Swami,6.5
Sadiyaan: Boundaries Divide... Love Unites,A Hindu/Sikh family face challenges when their adopted son falls in love with a Muslim girl.,Raj Kanwar,4.5
Trinetra,Raja is excited when Singhania offers him to sing in Dubai.He informs his pregnant wife Seema. But Raja finds Singhania is using him to smuggle drugs. He decides to go against them but gets...                See full summary »,Harry Baweja,5.1
Ek Din 24 Ghante,"Sameera Dutta is an enlightened and intelligent young woman, who knows exactly what she wants of life. She belongs to an upper class family, and lives with her mom and dad, a business ...                See full summary »",Anant Balani,4.0
Itni Si Baat,"One day while travelling on the BEST bus in Bombay, Raja produces a 100 rupee note to buy a 50 paisa bus ticket, and is made fun of by the bus conductor, and asked to leave the bus. Asha, ...                See full summary »",Madhu M.,7.0
Babul,"Two fathers, one poor and the other rich, hope that a wealthy postmaster weds one of their daughters'.",S.U. Sunny,7.3
Rihaee,"The men in this town are away to work, leaving the women to fend for themselves and their respective children, until they return. While the men patronize various courtesans and prostitutes ...                See full summary »",Aruna Raje,6.9
Do Kaliyaan,"Proud, wealthy, and haughty Kiran meets with down-to-earth middle-class fellow collegian, Shekhar, and after several clashes and misunderstandings, both fall in love and decide to get ...                See full summary »",R. Krishnan,6.5
Raat Aur Din,Varuna is seen singing and dancing in a night club with unknown man Dilip suddenly Partap arrives and starts confronting her stating he is her husband.But she claims that she never married ...                See full summary »,Satyen Bose,7.6
House No. 44,"Ashok is a petty thief working under a notorious gangster named Sunder. When Ashok comes across a dead body of a watchman, he reports this matter to the police, much to the anger of some of...                See full summary »",M.K. Burman,7.5
Anhonee,An impoverished advocate faces challenges after he falls in love with a wealthy woman who has a look-alike courtesan sister.,Khwaja Ahmad Abbas,7.2
Hotel Milan,Vipul and Saurabh come up with a radical business idea and political hell breaks loose in Uttar Pradesh.,Vishal Mishra,3.7
Impatient Vivek,"Rejected by the woman he loves, a slacker abducts her shortly before her marriage with another male.",Rahat Kazmi,2.2
Wafaa,A recently widowed woman must deal with a male claiming to be her husband.,Rakesh Sawant,3.9
Wajahh: A Reason to Kill,"After Trishna marries her sweetheart, Dr. Aditya Bhargava, she finds out that he used to love Ishita Singhania, the only daughter of a multi-millionaire. She also finds out that her ...                See full summary »",Gautam Adhikari,4.5
Andhaa Yudh,Raja assassinates a minister. He takes shelter in a house and takes a hostage.,Dayal Nihalani,7.3
Gharana,"Prem Mehra is a wealthy, kind-hearted, and generous man who lives in a palatial home with his wife, Laxmi, a daughter, and two sons, Vijay and Ravi. Dharamdas is an foe of Prem, and he ...                See full summary »",K. Ravi Shankar,5.3
Daayraa,Set on the north eastern coast of India this unusual Indian film mixes the genres of Bollywood (the song) with a toght hard hitting look at Indian society looking at areas of women's place ...                See full summary »,Amol Palekar,7.4
Radha Ka Sangam,Add a Plot,Kirti Kumar,5.1
Inteqam,Add a Plot,Rajkumar Kohli,5.4
Vilom,"Vilom, a lonely, isolated young man from India, is obsessed with becoming internet-famous and deeply confused about his sexuality. When he moves in with Amay, a dynamic, openly gay ...                See full summary »",Sunder Pal,6.0
Phir Kabhi,"Hari Singh has been married to Lakshmi for about 40 years, is the father of a male child, who is employed in America, while his wife, Divya, and daughter, Sonia, live with them in a very ...                See full summary »",V.K. Prakash,7.1
Kudiyon Ka Hai Zamaana,"Mayuri, Kanika, Natasha, and Anjali have been friends for many years. All of them come from very wealthy families. While Mayuri has been married 4 times, she still has feelings for her ...                See full summary »",Amar Butala,3.7
Fun: Can Be Dangerous Sometimes,"A trio of thrill-seeking housewives, plot to indulge in a game of ""husband swapping,"" whilst on vacation.",Sanjay Zaveri,3.4
Deha,"Sandhya Joshi's mom had wanted her daughter to study, at least complete her graduation in Commerce, before getting married. Her husband, however, thought otherwise and before Sandhya could ...                See full summary »",Mahesh Manjrekar,6.5
Triyacharitra,"A daughter of poor parents was engaged to a man when she was 13. The man is away working in Calcutta. In the meanwhile, she befriends a truck-driver who promises her parents a huge amount ...                See full summary »",Basu Chatterjee,7.5
Cheetah,"An honest and diligent inspector is murdered with his family. However, he survives the attack and is in coma for a while. When he exits coma, he takes revenge by murdering the villains one ...                See full summary »",Harmesh Malhotra,6.1
Ek Paheli,"Sudhir goes to take care of his family business in Goa. He is attracted to Maria, a mysterious woman who meets him in an old graveyard.",Naresh Kumar,6.9
Super Police,"A cop wants to eradicate all the criminals and make the country a better place to live. Although he faces many obstacles in his path of righteousness, he does not give up.",K. Muralimohana Rao,5.5
Papa the Great,"Jai, has a very strange psychological problem, something keeps terrorizing him both physically and mentally. But, he puts a brave front outwardly and this makes his son believe that his papa is great.",Bhagyaraj,5.4
Apradh,"While in Germany, gorgeous looking Rita, who belongs to a gang of thieves, cons a jeweler into parting with a very expensive necklace, and is on the run from the police. She hitches a ride ...                See full summary »",Feroz Khan,7.0
Ghar Sansar,"Girdharilal (Kader Khan) is a very rich and wealthy man. He has made a number of enemies. One of his enemies asks a beggar to masquerade as Girdharilal for a price, to which the beggar ...                See full summary »",K. Bapaiah,5.3
Maya Darpan,"Taran, the daughter of a wealthy landlord, finds herself on the horns of a dilemma when she has to choose between being with her lover and protecting her father's public image.",Kumar Shahani,6.9
Phir Wohi Dil Laya Hoon,"Due to a growing marital rift between Jamuna and her husband, she decides to leave him. He does not permit her to take their son, so she arranges his abduction, and disappears from her ...                See full summary »",Nasir Hussain,6.9
Direct Ishq,Direct Ishq is a love triangle where Dolly Pandey is the common love interest of Kabeer Bajpai an event organiser and Vicky Shukla President of Kashi Vidyapeeth.,Rajiv S. Ruia,4.4
Monica,An accused and three politically-connected suspects are prosecuted for their involvement in the homicide of a journalist.,Sushen Bhatnagar,5.5
Siskiyaan,"One rainy night, what happens when a stranger comes face to face with a woman with a traumatic past.",Ashwini Chaudhary,5.1
Sau Jhooth Ek Sach,"An unknown pregnant girl has ended her life by hanging herself from ceiling fan in a room of a little known hutment of Mumbai. In middle of the night, an uninvited Inspector lands in the ...                See full summary »",Bappaditya Roy,7.5
Heera Lal Panna Lal,"Two sets of twins, both named Heeralal and Pannalal, set out in search of love and adventure, quite unaware of the presence of the other set.",Kawal Sharma,4.5
Dhartiputra,"Jeeva and Shiva are childhood sweethearts.Yashpal Singh has his eyes on Jeeva and tries to rape her but she manages to escape.On their wedding night Shiva is killed by Yashpal Singh,Jeeva ...                See full summary »",Iqbal Durrani,6.4
Chhailla Babu,"This is the story of a most unusual romance in which a man of many faces and yet a man without a name who enters the life of a beautiful and rich heiress, Rita and partnered her in an exciting game of hide and seek.",Joy Mukherjee,6.7
Patita,"Radha earns a living begging in order to support herself and her crippled and ailing father. They live in a small tenament, under the constant threat of eviction by their landlord for ...                See full summary »",Amiya Chakrabarty,8.0
Pyari Behna,Kaali lives a middle class and common-man life with his sister Seeta in a shanty house. He works at a small train station nearby with an Engineer called Vinay. Kaali is the eldest in his ...                See full summary »,Bapu,7.0
Do Ustad,Two rival career-criminal brothers recollect their lives in a Courtroom in which one is about to be convicted for murder.,Tara Harish,7.2
Insaaf,Holding a first degree in law; Avinash Kapoor is employed as a lecturer in a college. When he attempt to punish some students for bending the rules; they retaliate by abducting his blind ...                See full summary »,Mukul Anand,6.8
Neel Kamal,In the royal court of Janakgarh Mangal Singh revolts against his sisters husband Maharana Pragat Singh they escape in a temple to save their lives.The prince and his wife is killed by ...                See full summary »,Kidar Nath Sharma,7.8
Bezubaan Ishq,"The film has been shot in various parts of India like Jaipur, Jaisalmer and Mumbai. The film is set in a modern milieu with traditional Indian backdrop and values. It revolves around three ...                See full summary »",Jaswant Gangani,4.4
Aakhari Decision,"An assassin, who wants to quit, is asked to carry out a final assignment.",Deepak Kumar Bandhu,5.9
Team: The Force,Three aspiring music artistes endanger their lives after they get into the bad books of a gangster.,Ajay Chandhok,4.0
C U at 9,A film producer named Romeo falls in love with a mysterious woman named Juliet.,Marion Rodrigues,4.2
Swarg Yahan Narak Yahan,"Vijay Kumar lives a middle-classed lifestyle in Bombay along with his wife, Suman, and is employed as the Assistant Commissioner of Police. Several years after their marriage, Suman gives ...                See full summary »",Vimal Kumar,6.7
Sahebzaade,"Raja and Rahul are brothers living with their mother (Shardha) in a village located in the green hills of Himachal Pradesh. Incidently they love the same girl, Chinar. One of them ...                See full summary »",Ajay Kashyap,4.2
Judge Mujrim,"A renowned judge witnesses a murder in broad daylight. He identifies the killer who is arrested, found guilty and sentenced to the gallows. The judge later discovers he has seen the wrong person.",Jagdish A. Sharma,4.0
Prem Geet,"Raj Babbar is a poet & good singer, with whom Anita Raj falls in love. However, Anita is diagnosed to have Brain Cancer; nonetheless Raj decides to marry Anita with the knowledge of his Dad",Sudesh Issar,7.8
Ghar Ghar Ki Kahani,"Honest Shankarnath, even though employed in a supervisory capacity, nets only Rs.630/-, and is unable to accede to any of the demands placed by his three school-going children, Ravi, Roopa,...                See full summary »",T. Prakash Rao,7.7
Naaka Bandi,"Truck-driver Dharam Singh lives a middle-classed lifestyle along with wife, Banto, and son, Raja. He adopts an orphan, Veer Singh. When his brother, Kaalia, returns after being discharged ...                See full summary »",Shibu Mitra,4.5
Karm,"Asha and Arvind are in love but are not allowed to marry by her astrologer father. They start living together and plan to start a family without getting married, but fate intervenes.",B.R. Chopra,6.7
Dulhan Wahi Jo Piya Man Bhaaye,"Wealthy businessman, Harkishan, lives in a palatial house, with his womanizing and alcoholic grandson, Prem. He would like Prem to get married, settle down, and look after the business, but...                See full summary »",Lekh Tandon,8.1
Bahu Begum,"On the day of her marriage, the bride goes missing. She ends up in a brothel, compelling her wealthy husband to pretend that all is well to keep the family's honor intact.",M. Sadiq,6.7
Dhaal: The Battle of Law Against Law,"Varun and Suraj are best friends. But when police inspector Varun arrests Suraj for a crime he didn't commit, it leaves Suraj crestfallen and feeling betrayed. Soon Varun too is framed and imprisoned.",Sameer Malkan,5.1
Mohre,Abdul is a truck driver with alcohol and depression problems so much so that he would like to end his life. One day another truck driver shows him a newspaper advertisement that offers help...                See full summary »,Raghuvir Kul,5.2
Amar Deep,"Raja was adopted by a criminal don (Ashok Kumar) at a very young age. After the death of the don, Raja inherits the property, and refrains from crime. However, the wealth and the power ...                See full summary »",R. Krishnamurthy,7.0
Aarti,"Aarti (Meena Kumari) is a dedicated and hard-working doctor, who believes that her skills should be used for the welfare of patients only. In contrast her fiance, Dr. Prakash (Ashok Kumar) ...                See full summary »",Phani Majumdar,6.8
Surkhaab,An illegal immigrant and a carrier who is on the run in a world alien from her. An exposure to the parallel world that exists in developed countries. A week in the life of a human being trafficked.,Sanjay Talreja,6.5
Rain: The Terror Within...,"Born blind, Sandhya Bhatnagar lives a middle-class lifestyle in India along with her father and mother. Her father passes away, and her mother re-marries a cruel alcoholic man who abuses ...                See full summary »",Amol Shetge,3.3
Umar,"When a singer-waiter is framed for murder, three elderly gentlemen risk all to prove his innocence.",Karan Razdan,5.4
Bhagyawan,"A poor mill worker, Dhanraj, finds out that his sister, Pushpa, is pregnant, and that the man responsible for this is his boss, Hira. He goes there to get him to marry her, only to be told ...                See full summary »",S.K. Subash,4.5
Vishnu-Devaa,"Young Vishnu and his younger brother live with their hardworking dad, a farmer, and mom a devoted housewife. Their lives are shattered when the land-owner, Thakur Shamsher Singh kills their dad, and brutally rapes and kills their mom.",K. Pappu,5.5
Palkon Ki Chhaon Mein,Ravi (Rajesh Khanna) accidentally lands a job as postman in a remote village after being an unemployed college graduate for some Time. He meets a variety of people as he fits into rural ...                See full summary »,Meraj,7.6
Adharm,"Mr. Verma is the proud owner of a spacious bunglow named ""Dharam Niwas"". He is critical of his second son, Jaggan Verma (Kiran Kumar) due to his drinking habits, people of lose or no morals...                See full summary »",Aziz Sejawal,5.1
Amber,A vengeful princess waits for the right moment to kill her foster-father - the emperor.,Jayant Desai,7.0
Aanchal,"The pure, selfless, and strong bond between Shambu and his sister-in-law Shanti is misunderstood by their family and the society, leading them to face many trials that threaten to split the family.",Anil Ganguly,6.5
Pratighaat,"Dharampura is a city in modern secular India that is being terrorized and held at ransom by Kali Prasad, a dreaded underworld don, extortionist, who also runs his own courtroom, shielded ...                See full summary »",N. Chandra,7.0
Ujala,"An impoverished male turns to crime, kills someone, tries to make a honest living but ends up becoming a suspect for theft.",Naresh Saigal,6.7
Shaheed,"Circa 1940s India, a young freedom fighter faces opposition from his own father as well as an ambitious police officer, who is also his rival for affection of a mutual childhood sweetheart.",Ramesh Saigal,7.2
Target,A cynical woman (Champa) leads exploited workers in a revolt against a cruel landowner (Mohan Agashe) in India,Sandip Ray,7.8
Paap Ka Ant,A woman fights for justice after her fiancé is killed by criminals who are acquitted for his murder.,Vijay Reddy,4.0
Dosti Dushmani,The friendship of three best friends develops a rift due to a misunderstanding created by their common enemy.,Rama Rao Tatineni,5.7
Faasle,A story of the blind sense of duty of the elders and the self-confidence and arrogance of the young. Both think they are right for the sake of love.,Yash Chopra,4.4
Chicken Curry Law,An ambitious and innocent girl falls prey to the power of money and politics.,Shekhar Sirrinn,5.8
Jo Dooba So Paar: It's Love in Bihar!,A high-school drop-out is smitten with a visiting American Researcher.,Praveen Kumar,5.7
Aadmi Ki Aurat Aur Anya Kahaniya,Three different stories set in India of men struggling to understand their relationships with women.,Amit Dutta,7.7
Shubh Raatri,It is a story about the finding of the truth of a witch which is only heard in tales by people living near village. Some friends find this tale interesting and try to enter the village but ...                See full summary »,Pankaz Singh Tanwar,4.8
Jaanam,"Paradise Builders is owned by Dhanraj, who lives a very wealthy lifestyle with his wife Radha son Rajan, and daughter Anjali. He aims to take possession of the nearby village, which is now ...                See full summary »",Vikram Bhatt,4.7
Raja Aur Rangeeli,Add a Plot,K.S. Prakash Rao,6.8
Imaandaar,A businessman faces challenges when he unknowingly permits his daughter to get engaged to the son of the man who betrayed him.,Sushil Malik,5.3
Imtihan,An idealistic college professor strives to reform the criminal element in his college but one of his students accuses him of sexual harassment.,Madan Sinha,7.5
Zamane Se Kya Darna,"Virendra Singh lives wealthy lifestyle in Bommbay, India, along with his wife, Shalini, and son, Vikram. He gambles on Diwali, loses all his money, borrows a large amount from his friend, ...                See full summary »",Bobby Raj,5.5
Yeh Mohabbat Hai,"This story revolves around two lovebirds Chand and Shaheen. There appear to be no complications to the lovebirds marriage, however, Chand is asked to gather together a team to play cricket....                See full summary »",Umesh Mehra,5.2
Bade Ghar Ki Beti,"Thakur Din Dayal is a family and village patriarch living with his wife and three married sons Murli,Manohar and Girdhar who do nothing but enjoy his wealth while other son Gopal and ...                See full summary »",Kalpataru,6.0
Abhinetri,"A chance meeting between an Assistant Scientist, Shekar, and an established stage dancer and singer, Anjana, results in love. While Shekar has a mother who lives separately, Anjana has been...                See full summary »",Subodh Mukherji,6.8
Baazi,Police inspector Ajay Sharma lives a wealthy life-style with his wife Asha and two school-going children. Persistent warnings from his superiors and seniors forces him to resign from his ...                See full summary »,Raj N. Sippy,6.5
Bezubaan,"A young woman must try to keep a one-night stand that she had in college a secret from her husband who happens to be one of his best friends, and thowart a persistant blackmailer intent on collecting money from her to keep quite about it.",Bapu,7.4
Satah Se Uthata Aadmi,Add a Plot,Mani Kaul,6.7
Sadhna,Mohan (Sunil Dutt) is the only bachelor son of his widowed mother and works as a professor. He is against prostitution and considers prostitutes a black spot on society. But due to some ...                See full summary »,B.R. Chopra,7.2
Anmol Ghadi,"Childhood lovers Chander and Lata gets separated when Lata moves to Mumbai with her family. So, will they get united again ?",Mehboob Khan,7.3
Rocketry: The Nambi Effect,"Based by the life of ISRO Scientist Nambi Narayanan who was falsely accused of being a spy and arrested in 1994. Though free, he is still fighting for justice, with those police officials alleged to have falsely implicated him, still free.",Madhavan,9.6
BHK Bhalla@Halla.Kom,"Story of a common man who is struggling to have his own house in the city of dreams Mumbai, It's a light hearted situational comedy.",Rakesh Chaturvedi Om,5.9
Baat Bann Gayi,"A successful author (Ali Fazal) pretends to be a geek in order to impress his girlfriend's (Anisa) brother (Gulshan Grover), because he expects his brother-in-law to be intelligent. Anyway,...                See full summary »",Shuja Ali,5.0
From Sydney with Love,"It was a dream come true for Meghaa Banerjee, a small town girl in West Bengal, India when she earned a scholarship from the prestigious University of New South Wales in Australia to pursue...                See full summary »",Prateek Chakravorty,6.3
Dheet Patangey,"Four cricket-crazy friends set out to find answer and write their destinies, between the two big wins in 1983 and 2011.",Ravi Adhikari,7.3
